arc_i,arc_j,capacity_1,capacity_2,capacity_3,capacity_4,capacity_5,capacity_6,capacity_7,capacity_8,capacity_9,capacity_10,capacity_11,capacity_12,capacity_13,capacity_14
107,106,2214211708,486747026,7319382390,64630572,5346,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825
106,107,2214211708,486747026,7319382390,64630572,5346,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825
108,107,2214211708,486747026,7319382390,64630572,5346,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825
107,108,2214211708,486747026,7319382390,64630572,5346,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825
109,108,2214211708,486747026,7319382390,64630572,5346,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825
108,109,2214211708,486747026,7319382390,64630572,5346,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825
110,109,2214211708,486747026,7319382390,64630572,5346,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825
109,110,2214211708,486747026,7319382390,64630572,5346,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825
111,110,2211155937,486075281,7309281117,64541378,5338,1423797935,512588777,403881572,115862276,1296169033,25346620,232494539,19277452,274650264
110,111,2211155937,486075281,7309281117,64541378,5338,1423797935,512588777,403881572,115862276,1296169033,25346620,232494539,19277452,274650264
112,111,2214211708,486747026,7319382390,64630572,5346,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825
111,112,2214211708,486747026,7319382390,64630572,5346,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825
113,112,2214211708,486747026,7319382390,64630572,5346,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825
112,113,2214211708,486747026,7319382390,64630572,5346,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825
114,113,421696405,92700924,1393975669,12308886,1018,271536919,97757395,77025507,22096454,247196416,4833932,44339754,3676462,52379403
115,113,1792515302,394046102,5925406721,52321686,4327,1154228674,415539769,327414221,93925941,1050763896,20547716,188476087,15627630,222650421
113,114,421696405,92700924,1393975669,12308886,1018,271536919,97757395,77025507,22096454,247196416,4833932,44339754,3676462,52379403
115,114,421696405,92700924,1393975669,12308886,1018,271536919,97757395,77025507,22096454,247196416,4833932,44339754,3676462,52379403
113,115,1792515302,394046102,5925406721,52321686,4327,1154228674,415539769,327414221,93925941,1050763896,20547716,188476087,15627630,222650421
114,115,421696405,92700924,1393975669,12308886,1018,271536919,97757395,77025507,22096454,247196416,4833932,44339754,3676462,52379403
116,115,2214211708,486747026,7319382390,64630572,5346,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825
115,116,2214211708,486747026,7319382390,64630572,5346,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825
117,116,2214211708,486747026,7319382390,64630572,5346,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825
116,117,2214211708,486747026,7319382390,64630572,5346,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825
118,117,2214211708,486747026,7319382390,64630572,5346,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825
117,118,2214211708,486747026,7319382390,64630572,5346,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825
149,118,1974231821,433992587,6526095753,57625805,4766,1271238787,457665178,360605889,103447698,1157285250,22630743,207582879,17211883,245221643
